Question,Option 1,Option 2,Option 3,Option 4,Answer
"In a code, ELTZZ is written as FMUAA. How is ELTZZ written in that code?",FMUAA,OHDGI,QJTDP,JGVEI,FMUAA
"In a code, YPISV is written as ZQJTW. How is IPSVY written in that code?",OMZVF,AKZDH,ZQJTW,GOKPM,ZQJTW
"In a code, ZGFIL is written as AHGJM. How is FGILZ written in that code?",AHGJM,KPFSO,SPJJN,AOEYL,AHGJM
"In a code, MHTWX is written as NIUXY. How is HMTWX written in that code?",RAYBW,NIUXY,DSUUE,RAXCK,NIUXY
"In a code, KNFGM is written as LOGHN. How is FGKMN written in that code?",HQMXB,LOGHN,LALKD,OWOIE,LOGHN
"In a code, ZPOQU is written as AQPRV. How is OPQUZ written in that code?",EVMSY,TYJJB,AQPRV,ZFGEQ,AQPRV
"In a code, OBHWQ is written as PCIXR. How is BHOQW written in that code?",SXOJE,KNQNZ,PCIXR,MRTTD,PCIXR
"In a code, LFPOA is written as MGQPB. How is AFLOP written in that code?",ZKPTF,MGQPB,IMGSM,PTMHL,MGQPB
"In a code, UVAMG is written as VWBNH. How is AGMUV written in that code?",XHRYI,HTUJT,VWBNH,VTDLH,VWBNH
"In a code, VTPPB is written as WUQQC. How is BPPTV written in that code?",WUQQC,MTRFR,FPFIC,JBQFA,WUQQC
"In a code, WEBXP is written as XFCYQ. How is BEPWX written in that code?",JHJIT,OFDKT,XFCYQ,CPGYE,XFCYQ
"In a code, HGHZU is written as IHIAV. How is GHHUZ written in that code?",YAGVT,IYEVB,IHIAV,XRBQF,IHIAV
"In a code, IRMMW is written as JSNNX. How is IMMRW written in that code?",IIWMC,JSNNX,EETXA,UNUWH,JSNNX
"In a code, ZREDN is written as ASFEO. How is DENRZ written in that code?",ASFEO,SCMCY,TJHVT,QALFB,ASFEO
"In a code, GMNIU is written as HNOJV. How is GIMNU written in that code?",GLQBW,AFUIR,ONCFM,HNOJV,HNOJV
"In a code, BCXGP is written as CDYHQ. How is BCGPX written in that code?",CDYHQ,HUKGM,HHWYI,WCWTU,CDYHQ
"In a code, TCMNA is written as UDNOB. How is ACMNT written in that code?",BIZCF,GSIUO,UDNOB,GIEYI,UDNOB
"In a code, CYJAX is written as DZKBY. How is ACJXY written in that code?",DZKBY,PEMKS,SHJLT,ABUED,DZKBY
"In a code, AHGRA is written as BIHSB. How is AAGHR written in that code?",XREBW,CXWRH,VTTXB,BIHSB,BIHSB
"In a code, BHQNJ is written as CIROK. How is BHJNQ written in that code?",UBZEW,CIROK,YIHBC,VOXKQ,CIROK
"In a code, LMYEM is written as MNZFN. How is ELMMY written in that code?",MNZFN,RALLE,WIOYX,IKZNC,MNZFN
"In a code, HSOIZ is written as ITPJA. How is HIOSZ written in that code?",ITPJA,GBMTR,FQNVG,RKIGN,ITPJA
"In a code, LWNPY is written as MXOQZ. How is LNPWY written in that code?",ATGFP,FLGGB,YXYOH,MXOQZ,MXOQZ
"In a code, UMBVJ is written as VNCWK. How is BJMUV written in that code?",EKMII,VNCWK,ZHSDH,VDWNY,VNCWK
"In a code, SPKVZ is written as TQLWA. How is KPSVZ written in that code?",KZVGH,TQLWA,CNKFJ,UKHDS,TQLWA
"In a code, PRTNN is written as QSUOO. How is NNPRT written in that code?",SGHET,VFRAB,LPVTK,QSUOO,QSUOO
"In a code, AIODK is written as BJPEL. How is ADIKO written in that code?",BJPEL,LZALC,FPGSK,QONUV,BJPEL
"In a code, RZRVX is written as SASWY. How is RRVXZ written in that code?",YXTIQ,DWKJR,SASWY,XEWCE,SASWY
"In a code, EBXAH is written as FCYBI. How is ABEHX written in that code?",FCYBI,NBWFU,VUWUC,CSYGN,FCYBI
"In a code, ZOOUX is written as APPVY. How is OOUXZ written in that code?",GCSFM,EISOO,APPVY,WFXNM,APPVY
"In a code, VWOAR is written as WXPBS. How is AORVW written in that code?",WXPBS,IZOJK,ADOMJ,QDIEH,WXPBS
"In a code, HLZYA is written as IMAZB. How is AHLYZ written in that code?",QPBNM,IMAZB,MYHZS,OMFEK,IMAZB
"In a code, JUFQD is written as KVGRE. How is DFJQU written in that code?",KVGRE,WGFIC,JHNXL,AMZID,KVGRE
"In a code, GISTV is written as HJTUW. How is GISTV written in that code?",TAHGL,YTKST,HJTUW,BENQU,HJTUW
"In a code, JVYGU is written as KWZHV. How is GJUVY written in that code?",ZQDIQ,KWZHV,CZQIX,TEQDU,KWZHV
"In a code, JFJUK is written as KGKVL. How is FJJKU written in that code?",FMUMO,ZCGQV,KGKVL,SVEZF,KGKVL
"In a code, NEOWZ is written as OFPXA. How is ENOWZ written in that code?",NXBBN,VYKZX,OFPXA,CMLCS,OFPXA
"In a code, XSJTP is written as YTKUQ. How is JPSTX written in that code?",FVAWA,JAMYD,HMVDN,YTKUQ,YTKUQ
"In a code, NDZUC is written as OEAVD. How is CDNUZ written in that code?",OEAVD,XEXIM,WTERS,MJLGH,OEAVD
"In a code, GZSGN is written as HATHO. How is GGNSZ written in that code?",ZASYQ,STQWB,HATHO,BKPUC,HATHO
"In a code, TTALB is written as UUBMC. How is ABLTT written in that code?",DGTAW,SUJCE,OPVYG,UUBMC,UUBMC
"In a code, FSLDP is written as GTMEQ. How is DFLPS written in that code?",ZZVPQ,XBFBC,AGFLE,GTMEQ,GTMEQ
"In a code, SDIPW is written as TEJQX. How is DIPSW written in that code?",JJBLA,VLNHS,TEJQX,CTLDP,TEJQX
"In a code, FEEMF is written as GFFNG. How is EEFFM written in that code?",AOGSO,LMUQC,CDIJV,GFFNG,GFFNG
"In a code, ITBWZ is written as JUCXA. How is BITWZ written in that code?",JUCXA,UDPWY,WWUCS,CRJLH,JUCXA
"In a code, OXGDC is written as PYHED. How is CDGOX written in that code?",MVWFI,QUSGE,OQNFX,PYHED,PYHED
"In a code, YXEYH is written as ZYFZI. How is EHXYY written in that code?",INFYY,UGAUX,EPEXQ,ZYFZI,ZYFZI
"In a code, QTAEA is written as RUBFB. How is AAEQT written in that code?",JKPEN,OFNZN,RUBFB,FCRGT,RUBFB
"In a code, TZNQI is written as UAORJ. How is INQTZ written in that code?",UAORJ,BEZXG,WSCIG,KPCIH,UAORJ
"In a code, GZGFW is written as HAHGX. How is FGGWZ written in that code?",IUGQH,ILWJV,RQKHC,HAHGX,HAHGX
"In a code, JJDLX is written as KKEMY. How is DJJLX written in that code?",KKEMY,CZUXL,IEHXZ,RIRSB,KKEMY
"In a code, DLTWS is written as EMUXT. How is DLSTW written in that code?",LCELA,XJWZE,EMUXT,YMKKH,EMUXT
"In a code, ACGFR is written as BDHGS. How is ACFGR written in that code?",GDUSZ,YZFXI,HYGLH,BDHGS,BDHGS
"In a code, MSUCU is written as NTVDV. How is CMSUU written in that code?",KPJSW,OWKRA,NTVDV,OPAXH,NTVDV
"In a code, KDIQK is written as LEJRL. How is DIKKQ written in that code?",LEJRL,ORDFF,TDIFP,YYIQL,LEJRL
"In a code, XIRXJ is written as YJSYK. How is IJRXX written in that code?",JHPXR,MKTQB,MPMYQ,YJSYK,YJSYK
"In a code, LDOQZ is written as MEPRA. How is DLOQZ written in that code?",DBZUA,JZSLT,RLLSS,MEPRA,MEPRA
"In a code, QPHUF is written as RQIVG. How is FHPQU written in that code?",SMCFJ,XFKJX,CYKIV,RQIVG,RQIVG
"In a code, WNTLU is written as XOUMV. How is LNTUW written in that code?",YTEVQ,XOUMV,WULTR,EXOJB,XOUMV
"In a code, BWDCT is written as CXEDU. How is BCDTW written in that code?",CXEDU,UFGGF,JAFDQ,PBEXI,CXEDU
"In a code, AKZDS is written as BLAET. How is ADKSZ written in that code?",RWFCO,BLAET,QZIJF,RWTCT,BLAET
"In a code, QSTLH is written as RTUMI. How is HLQST written in that code?",XGVVG,CUFQG,RTUMI,KAGPR,RTUMI
"In a code, ZDWRJ is written as AEXSK. How is DJRWZ written in that code?",DUNSN,DSEJJ,WXNWD,AEXSK,AEXSK
"In a code, QAJHI is written as RBKIJ. How is AHIJQ written in that code?",RBKIJ,KHNQH,SHRAW,AXDMR,RBKIJ
"In a code, PUQMJ is written as QVRNK. How is JMPQU written in that code?",YBFYP,AQDHN,YWOFV,QVRNK,QVRNK
"In a code, LUVON is written as MVWPO. How is LNOUV written in that code?",NKVAX,WGWZG,TEIBZ,MVWPO,MVWPO
"In a code, PRTFJ is written as QSUGK. How is FJPRT written in that code?",ZQRCO,QSUGK,XSFOS,LFXPE,QSUGK
"In a code, GWTAQ is written as HXUBR. How is AGQTW written in that code?",NYPZE,HXUBR,VVUYH,KWAZF,HXUBR
"In a code, KQFZO is written as LRGAP. How is FKOQZ written in that code?",LRGAP,UVCTU,VBWFX,VWDEA,LRGAP
"In a code, DCAHA is written as EDBIB. How is AACDH written in that code?",ISHMF,EDBIB,ZSOXF,ZNDKX,EDBIB
"In a code, TTDEM is written as UUEFN. How is DEMTT written in that code?",XSXGF,YPSRV,AMNCN,UUEFN,UUEFN
"In a code, AEYBH is written as BFZCI. How is ABEHY written in that code?",CQCQL,DXQXG,NODJR,BFZCI,BFZCI
"In a code, VNLER is written as WOMFS. How is ELNRV written in that code?",WYGNH,JXVRN,BQBTA,WOMFS,WOMFS
"In a code, RSMOB is written as STNPC. How is BMORS written in that code?",CWKQB,STNPC,QFGCF,NUADT,STNPC
